Chip and Device,V1_MaxPulse_Voltage_V,Number_of_Pulses,Applied_energy_J,Average_Power_P,Pth_Vth_times_Ith,Ith_Trigger_Current,Vth_TriggerVoltage,N_scale,ton,toff,T_total_period,n_P_over_Pth,Rb_Resistance_Before,Ra_minus_Rb_over_Rb_percent,Ra_minus_Rb,Pulse file,Rbefore file name,Rafter,R Em file name,Ycat,Prediction,c,source,NI
D33_zA221,100.0,1.0,4.17e-05,0.000417,7.5e-06,3e-06,2.5,40.0,0.1,0.0,0.1,55.58,50800000.0,6.45,3500000.0,zA0221_D33__3E-6_40_0305.csv_1,,zA0221_D33__3E-6_40_0305_IV.csv_1,zA0221_D33__IV_0305.csv_1,3.0,3.0,0.0,training,
D33_zA221,100.0,1.0,4.31e-05,0.000431,1.5e-05,3e-06,5.0,20.0,0.1,0.0,0.1,28.71,51500000.0,-1.38,-700000.0,zA0221_D33__3E-6_20_030.csv_2,zA0221_D33__3E-6_20_030.csv_1,zA0221_D33__3E-6_20_030.csv_3,,5.0,5.0,0.0,training,
D21_zA221REWASHED,70.0,3.0,0.00123,0.00356,0.00042,4e-05,10.5,20.0,0.1,0.025,0.346,8.47,2410000.0,1.63,40000.0,,,zA0221REWASHED_D21_0318_40uA_20.csv_2,zA0221REWASHED_D21_0318_40uA_20_IV.csv_1,4.0,4.0,0.0,training,
D21_zA221REWASHED,100.0,4.0,0.000365,0.000912,2.8e-05,7e-05,0.4,1000.0,0.1,0.025,0.4,32.59,2740000.0,-14.6,-350000.0,zA0221REWASHED_D21_0313_70uA_1000.csv_1,,zA0221REWASHED_D21_0313_70uA_1000.csv_2,,6.0,6.0,0.0,training,
D21_zA221REWASHED,70.0,21.0,0.00892,0.00351,0.00147,5e-05,29.4,50.0,0.1,0.025,2.54,2.39,2420000.0,2.42,60000.0,,,zA0221REWASHED_D21_0318_50uA_50_.csv_1,,4.0,4.0,0.0,training,
D33_zA223,80.0,25.0,0.00531,0.00175,0.0002,1e-05,20.0,100.0,0.1,0.025,3.03,8.76,7130000.0,-41.2,-2080000.0,zA0223_D33_10uA_100.csv_1,zA0223.csv_1,zA0223_D33_10uA_100.csv_2,zA0223_D33_10uA_100_EM_IV.,7.0,7.0,0.0,training,
ZAA224,90.0,32.0,0.00511,0.00132,0.00023,8e-06,28.8,100.0,0.1,0.025,3.88,5.71,9750000.0,-25.8,-2000000.0,zA0224_D21_1uA_100.csv_1,zA0224_D21.csv_1,zA0224_D21_1uA_100.csv_2,zA0224_D21_10uA_100_IV.csv_1,7.0,7.0,0.0,training,
D21_zA221REWASHED,80.0,90.0,0.0472,0.0043,0.0036,5e-05,72.0,100.0,0.1,0.025,11.0,1.2,3120000.0,-54.5,-1100000.0,zA0221REWASHED_D21_0416_100_60uA.csv_1,,zA0221REWASHED_D21_0416_100_50uA.csv_2,zA0221REWASHED_D21_0416_100_60uA_IR.csv_1,7.0,7.0,0.0,training,
D21_zA221REWASHED,100.0,95.0,0.0592,0.00512,0.0057,6e-05,95.0,100.0,0.1,0.025,11.6,0.9,3340000.0,3.47,120000.0,zA0221REWASHED_D21_0416_100_60uA.csv_1,zA0221REWASHED_D21_0422.csv_1,zA0221REWASHED_D21_0422_100_60uA.csv_2,zA0221REWASHED_D21_0422_100_60uA_IV.csv_1,4.0,4.0,0.0,training,
D12_zA221REWASHED,70.0,107.0,8.67e-05,0.00213,0.003,4e-05,74.9,100.0,0.1,0.025,0.0406,0.71,2860000.0,4.35,130000.0,zA0221REWASHED_D12_0318_40uA_100.csv_1,,,zA0221REWASHED_D12_0318_40uA_100_IV.csv_1,4.0,4.0,0.0,training,
D21_zA221REWASHED,70.0,129.0,0.0546,0.00348,0.00677,7.5e-05,90.3,100.0,0.1,0.025,15.7,0.51,2480000.0,-0.405,-10000.0,zA0221REWASHED_D21_0318_75uA_100_.csv_1,,zA0221REWASHED_D21_0318_75uA_100_.csv_2,,5.0,5.0,0.0,training,
D21_zA221REWASHED,100.0,147.0,0.15,0.00839,0.0206,0.00014,147.0,100.0,0.1,0.025,17.9,0.41,1690000.0,1.17,20000.0,zA0221REWASHED_D21_0416_100_140uA.csv_1,zA0221REWASHED_D21_0416_100_140uA_IV.csv_1,zA0221REWASHED_D21_0416_100_140uA.csv_2,,4.0,4.0,0.0,training,
D12_zA221REWASHED,70.0,157.0,5.75e-05,0.00137,0.0176,8e-05,219.8,50.0,0.1,0.025,0.0419,0.08,3700000.0,-1.93,-70000.0,zA0221REWASHED_D12_0319_80uA_50.csv_1,,zA0221REWASHED_D12_0319_80uA_50.csv_2,zA0221REWASHED_D12_0319_80uA_50_IV.csv_1,5.0,5.0,0.0,training,
D21_zA221REWASHED,70.0,161.0,0.0585,0.00298,0.00845,7.5e-05,112.7,100.0,0.1,0.025,19.6,0.35,2610000.0,10.0,290000.0,zA0221REWASHED_D21_0401_100_75uA.csv_1,,zA0221REWASHED_D21_0401_100_75uA.csv_2,zA0221REWASHED_D21_0401_100_75uA_IV.csv_1,3.0,3.0,0.0,training,
D12_zA221REWASHED,70.0,169.0,0.0514,0.0025,0.00493,5e-05,98.58333333,120.0,0.1,0.025,20.6,0.51,3130000.0,8.75,300000.0,zA0221REWASHED_D12_0318_50uA_120_.csv_1,zA0221REWASHED_D12_0318_40uA_100_IV.csv_1,zA0221REWASHED_D12_0318_50uA_120_.csv_2,zA0221REWASHED_D12_0318_50uA_120_IV.csv_1,3.0,3.0,0.0,training,
D21_zA221REWASHED,90.0,186.0,0.145,0.00641,0.0234,0.00014,167.4,100.0,0.1,0.025,22.7,0.27,1680000.0,-1.2,-20000.0,zA0221REWASHED_D21_0416_100_140uA_pulse.csv_1,,zA0221REWASHED_D21_0416_100_140uA_pulse.csv_2,,5.0,5.0,0.0,training,
D12_zA221REWASHED,80.0,191.0,0.0311,0.00133,0.00458,3e-05,152.8,100.0,0.1,0.025,23.3,0.29,5730000.0,-7.5,-400000.0,zA0221REWASHED_D12_0416_100_30uA.csv_1,zA0221REWASHED_D12_0416_IV.csv_1,,zA0221REWASHED_D12_0416_100_30uA_IV.csv_1,6.0,6.0,0.0,training,
D32_za521,80.0,1.0,4e-05,0.0004,6.02e-05,5e-06,12.0303,6.65,0.1,0.0,0.1,6.65,3100000.0,8.27,,,,,,,,,training,
